 n;   la; isd;  iter/epoc;  mbatch;       L*;    ngL*;     tex; tr_acc; te_acc;
 6; 0.50;      7;       6;    3001; 2.70e-01; 0.0e+00; 1.0e-01;   49.2;   90.4;
 7; 0.00;      1;      26;       0; 1.99e-03; 9.7e-04; 6.9e-01;   99.8;   99.8;
 7; 0.00;      3;      21;       0; 1.34e-03; 5.2e-04; 6.6e-01;   99.8;   99.6;
 7; 0.00;      7;      12;    6001; 1.08e-03; 0.0e+00; 1.9e-01;   99.9;   99.6;
 7; 0.01;      1;      26;       0; 3.17e-02; 9.2e-04; 6.8e-01;   99.8;   99.4;
 7; 0.01;      3;      29;       0; 3.17e-02; 9.5e-04; 9.1e-01;   99.8;   99.4;
 7; 0.01;      7;      12;    6001; 3.28e-02; 0.0e+00; 2.1e-01;   99.8;   99.6;
 7; 0.50;      1;     100;       0; 1.77e-01; 4.9e-03; 2.3e+00;   97.3;   94.6;
 7; 0.50;      3;      64;       0;      NaN;     NaN; 1.9e+00;    0.0;    0.0;
 7; 0.50;      7;       7;    3501; 3.31e-01; 0.0e+00; 1.2e-01;   49.9;   91.2;
 8; 0.00;      1;     100;       0; 8.84e-02; 1.0e-01; 2.3e+00;   95.4;   97.2;
 8; 0.00;      3;      22;       0; 3.36e-02; 4.1e-03; 7.4e-01;   96.1;   97.4;
 8; 0.00;      7;       6;    3001; 2.74e-02; 0.0e+00; 1.1e-01;   96.4;   97.2;
 8; 0.01;      1;     100;       0; 1.06e-01; 4.5e-02; 2.3e+00;   91.7;   86.0;
 8; 0.01;      3;      99;       0;      NaN;     NaN; 2.9e+00;    0.0;    0.0;
 8; 0.01;      7;       6;    3001; 1.57e-01; 0.0e+00; 1.1e-01;   85.6;   98.0;
 8; 0.50;      1;      14;       0; 2.21e-01; 8.3e-04; 3.2e-01;   78.2;   59.8;
 8; 0.50;      3;       7;       0; 2.21e-01; 9.4e-04; 2.0e-01;   78.2;   60.0;
 8; 0.50;      7;       8;    4001; 3.38e-01; 0.0e+00; 1.4e-01;   49.1;   89.6;
 9; 0.00;      1;     100;       0; 5.32e-02; 1.1e-01; 2.3e+00;   97.1;   99.0;
 9; 0.00;      3;     100;       0; 1.35e-02; 2.6e-03; 3.0e+00;   98.3;   98.0;
 9; 0.00;      7;      19;    9501; 1.13e-02; 0.0e+00; 2.8e-01;   98.5;   98.2;
 9; 0.01;      1;     100;       0; 7.76e-02; 8.6e-02; 2.4e+00;   97.5;   98.6;
 9; 0.01;      3;      79;       0;      NaN;     NaN; 2.3e+00;    0.0;    0.0;
 9; 0.01;      7;      10;    5001; 1.05e-01; 0.0e+00; 1.7e-01;   92.5;   98.6;
 9; 0.50;      1;      11;       0; 2.16e-01; 5.8e-04; 2.6e-01;   85.7;   72.2;
 9; 0.50;      3;      64;       0;      NaN;     NaN; 1.9e+00;    0.0;    0.0;
 9; 0.50;      7;       8;    4001; 3.46e-01; 0.0e+00; 1.4e-01;   49.1;   87.6;
 0; 0.00;      1;     100;       0; 2.84e-02; 4.7e-02; 2.3e+00;   99.1;   98.6;
 0; 0.00;      3;     100;       0; 6.67e-03; 1.5e-03; 3.0e+00;   99.1;   98.8;
 0; 0.00;      7;       9;    4501; 7.11e-03; 0.0e+00; 1.6e-01;   99.1;   99.2;
 0; 0.01;      1;     100;       0; 5.82e-02; 2.2e-02; 2.3e+00;   99.1;   99.2;
 0; 0.01;      3;     100;       0; 5.52e-02; 2.6e-03; 2.9e+00;   99.2;   99.2;
 0; 0.01;      7;       6;    3001; 6.57e-02; 0.0e+00; 1.1e-01;   97.9;   99.0;
 0; 0.50;      1;     100;       0; 2.10e-01; 1.5e-03; 2.2e+00;   90.7;   82.8;
 0; 0.50;      3;     100;       0; 2.10e-01; 2.4e-03; 2.8e+00;   90.7;   82.8;
 0; 0.50;      7;       8;    4001; 3.08e-01; 0.0e+00; 1.4e-01;   48.8;   90.6;
